Gn,Mean-copy-number,mean,rank,percentile_rank
SSTR3,6.073,6.073,4967.5,25.38842890728815
TMED4,118.811,118.811,17250.0,88.16314014106102
VSTM2B,9.36,9.36,6792.0,34.713278135541245
ZMAT3,8.728,8.728,6473.0,33.082898906265974
BUB1,14.639,14.639,8755.0,44.74598793826024
CSNK1A1,19.075,19.075,10002.5,51.12184401512828
RHO,288.503,288.503,18516.0,94.63354799141368
SIRT2,75.844,75.84400000000001,16247.0,83.03690074619237
APOH,924.004,924.004,19328.0,98.7836042113871
PDK2,33.935,33.935,13247.5,67.70673617499745
BEND3,28.7,28.7,12234.0,62.52683226004293
WNT10A,8.242,8.242,6228.5,31.833282224266586
CDADC1,2.756,2.756,2345.5,11.987631605846877
ERVV-2,2.393,2.393,2031.0,10.380251456608402
FAM83B,12.786,12.786,8140.0,41.60278033323112
HOXA2,5.631,5.631,4668.5,23.86026781150976
NBPF10,0.377,0.377,363.5,1.8578145763058367
RIMBP3C,0.671,0.671,558.5,2.85444137790044
TDRD3,20.327,20.327,10334.0,52.81610957783911
NLE1,37.81,37.81,13806.0,70.56117755289787
OPN5,10.564,10.564,7262.5,37.1179597260554
FAM118A,20.88,20.88,10464.0,53.480527445568846
METTL17,34.903,34.903,13400.0,68.48614944291117
ASB1,15.278,15.278,8933.0,45.6557293263825
MKRN3,11.064,11.064,7488.0,38.270469181232755
SKAP2,40.037,40.037,14084.0,71.98200960850455
SMN1,47.258,47.258,14781.5,75.54686701420832
RALGPS2,19.975,19.975,10240.0,52.33568435040377
OGN,517.207,517.207,19026.0,97.24011039558418
SNX17,45.727,45.727,14675.0,75.00255545333742
TRIM51,2.779,2.779,2375.0,12.138403352754779
MFHAS1,3.58,3.58,3101.5,15.851477052029031
NCOA3,18.508,18.508,9870.0,50.44464888071144
CTSW,19.398,19.398,10101.0,51.62526832260043
DDN,8.596,8.596,6419.0,32.806909945824394
GLT8D1,31.153,31.152999999999995,12742.0,65.12317285086374
KRT39,33.173,33.173,13119.0,67.04998466727997
SHKBP1,21.381,21.380999999999997,10596.0,54.155167126648266
SHC1,43.163,43.163,14426.0,73.72993969130124
PRRC2B,17.85,17.85,9669.5,49.41991209240519
ZNF175,5.287,5.287,4448.0,22.73331288970663
CLRN2,3.525,3.525,3050.5,15.59082081161198
SIX2,5.509,5.509,4587.0,23.44372891750997
TMEM200B,42.664,42.664,14369.0,73.43861801083513
SLC26A2,29.277,29.277,12352.0,63.129919247674536
CNST,24.396,24.396,11328.0,57.896350812634154
MCM7,214.0,214.0,18156.0,92.7936215884698
RSRP1,7.984,7.984000000000001,6085.0,31.099867116426456
MXI1,28.469,28.469000000000005,12182.0,62.261065112951044
UCP1,9.28,9.28,6753.5,34.51650822855974
PCDHA4,6.16,6.16,5021.0,25.66186241439231
POU5F1B,25.168,25.168,11490.5,58.72687314729633
F8,2.582,2.582,2198.0,11.23377287130737
BAG2,125.093,125.093,17346.0,88.65378718184606
FBXO4,23.173,23.173,11029.0,56.36818971685577
TAF10,57.371,57.371,15473.0,79.08105897986303
ARPIN,32.536,32.536,13005.0,66.46734130634775
PKN2,30.337,30.337,12578.0,64.28498415618931
ESCO1,19.699,19.699,10182.0,52.039251763262804
EGFL7,19.45,19.45,10116.0,51.70193192272309
C9orf131,4.752,4.752,4049.0,20.69406112644383
CAGE1,3.86,3.86,3329.5,17.01676377389349
AFG1L,28.972,28.972,12295.0,62.838597567208424
DGKA,31.022,31.022,12723.0,65.0260656240417
TEC,7.92,7.919999999999999,6034.0,30.839210876009403
UNC5C,3.417,3.417,2940.0,15.026065624041705
OR2K2,2.07,2.07,1743.0,8.908310334253297
TNFSF4,22.004,22.004,10748.0,54.932024941224576
KLHL29,8.334,8.334,6283.0,32.111826638045585
DMPK,11.659,11.659,7723.0,39.47153224982112
SPATA48,2.37,2.37,2011.5,10.280588776448942
PYCR3,59.066,59.06600000000001,15554.0,79.4950424205254
DNAJB1,113.914,113.914,17172.0,87.76448942042319
MRTFA,23.702,23.702,11175.0,57.11438209138301
LRP6,10.272,10.272,7163.0,36.609424511908415
PHACTR2,11.607,11.607,7701.0,39.359092302974545
ZW10,37.869,37.869,13813.0,70.5969538996218
FAM187A,0.325,0.325,334.5,1.7095982827353573
ZNF213,10.801,10.801,7380.0,37.71849126034959
CD300E,9.864,9.864,7005.5,35.804456710620464
CREG2,19.67,19.67,10177.0,52.01369722988858
GPR21,1.638,1.638,1344.0,6.869058570990494
PDGFRL,8.022,8.022,6107.5,31.21486251661045
RNF150,11.166,11.166,7526.0,38.46468363487683
SLC5A1,12.516,12.516,8043.0,41.10702238577124
SLC22A4,2.137,2.137,1810.0,9.250741081467853
CST7,24.379,24.379,11319.0,57.85035265256057
MEMO1,62.25,62.25,15709.0,80.28723295512624
UPK1B,7.131,7.131,5618.0,28.71307369927425
LRRN1,16.23,16.23,9211.0,47.076561381989166
COL1A2,155.407,155.407,17708.0,90.50393539813963
USPL1,2.116,2.116,1793.5,9.166411121332924
ZAR1L,7.29,7.29,5706.5,29.165388939997953
MYL12B,447.983,447.983,18916.0,96.67791066135133
BCL2L1,36.863,36.863,13682.0,69.92742512521721
CCER2,1.181,1.181,948.5,4.847694981089646
ASB13,3.405,3.405,2928.0,14.964734743943575
MEP1A,12.23,12.23,7944.0,40.60104262496167
C1orf195,0.0,0.0,20.0,0.10221813349688236
GPSM3,59.904,59.904,15596.0,79.70970050086885
CDKL5,2.142,2.142,1815.5,9.278851068179495
FANCD2OS,4.309,4.309,3688.5,18.851579270162528
IQSEC1,25.497,25.497,11560.0,59.082081161198
TMEM39B,14.976,14.976,8848.0,45.22130225902075
SLURP1,831.235,831.235,19288.0,98.57916794439333
TRIP13,69.508,69.508,16033.0,81.94316671777572
CCNO,9.783,9.783,6976.0,35.653684963712564
IRF2,17.517,17.517,9579.0,48.957375038331804
APCDD1L,4.584,4.584,3917.5,20.02197689870183
PPP1R1B,104.842,104.842,16980.0,86.78319533885312
SPATA33,17.541,17.541,9585.0,48.98804047838087
PLCG1,40.579,40.579,14142.0,72.27844219564551
PBOV1,1.574,1.574,1276.0,6.521516917101093
GABRA5,11.808,11.808,7781.0,39.76796483696208
C6orf163,2.886,2.886,2451.0,12.52683226004293
GTF2H2,11.432,11.432,7630.0,38.99621792906062
P2RX6,2.268,2.268,1933.0,9.879382602473678
SLC25A35,16.618,16.618,9328.0,47.67453746294593
PADI2,58.563,58.563,15528.0,79.36215884697945
PRPF8,200.762,200.76200000000003,18081.0,92.41030358785649
SECISBP2,19.564,19.564,10145.0,51.85014821629357
SERTAD1,1.969,1.969,1638.0,8.371665133394664
MAMLD1,5.465,5.465,4554.5,23.277624450577534
SLIT2,3.571,3.571,3091.0,15.797812531943167
CCDC47,126.598,126.598,17361.0,88.73045078196871
LILRA5,8.254,8.254,6239.0,31.886946744352446
CNPY2,112.9,112.9,17146.0,87.63160584687724
KCNQ4,5.305,5.305,4454.0,22.763978329755698
LTB4R2,92.886,92.88600000000001,16732.0,85.51569048349177
TLE2,2.704,2.704,2310.5,11.808749872227335
HINT3,67.206,67.206,15937.0,81.4525196769907
ZNF503-AS2,0.0,0.0,20.0,0.10221813349688236
DOHH,52.777,52.777,15202.0,77.69600327098027
HNRNPM,664.47,664.4700000000001,19168.0,97.96585914341203
KRTAP5-3,21.157,21.157,10545.0,53.89451088623122
ZNF763,6.0,6.0,4918.5,25.137994480220794
GOLGA8H,1.122,1.122,904.5,4.622815087396504
SRGAP3,11.139,11.139,7517.0,38.41868547480323
NT5C1B,3.722,3.722,3215.0,16.431564959623838
EEF1E1,64.691,64.691,15831.0,80.91076356945722
STOX1,4.224,4.224,3615.0,18.475927629561482
TMC8,8.519,8.519,6384.5,32.63058366554227
HACD3,146.347,146.347,17601.0,89.9570683839313
OTOGL,2.181,2.181,1857.0,9.490953695185526
ACRV1,34.641,34.641,13362.0,68.2919349892671
CEMP1,53.339,53.339,15238.0,77.87999591127466
ZNF681,2.832,2.8319999999999994,2417.0,12.353061433098231
TEX2,6.28,6.28,5096.5,26.047735868343043
SNX6,137.869,137.869,17491.0,89.39486864969845
NOMO3,16.427,16.427,9266.0,47.35766124910559
ANKRD44,32.87,32.87,13071.0,66.80466114688745
PAQR7,22.988,22.988,10967.0,56.05131350301543
RAPSN,5.044,5.044,4280.0,21.87468056833282
SRSF3,854.988,854.988,19299.0,98.63538791781662
SST,164.818,164.818,17800.0,90.97413881222529
PMEPA1,8.879,8.879,6544.0,33.4457732801799
NID1,189.246,189.246,17993.0,91.9605438004702
KMT5C,6.215,6.215,5051.5,25.817745067975057
AKIRIN1,3.216,3.216,2750.0,14.054993355821324
SPRN,48.793,48.793,14909.0,76.19850761525095
DRD2,6.215,6.215,5051.5,25.817745067975057
MUC6,60.638,60.638,15630.5,79.88602678115097
TENT5A,24.464,24.464,11343.5,57.97556986609425
WDFY2,15.373,15.373,8959.0,45.78861289992845
PLS1,59.402,59.401999999999994,15571.0,79.58192783399775
NAT2,8.069,8.069,6126.0,31.309414290095063
OR2B6,0.002,0.002,60.0,0.306654400490647
CYP4F3,19.45,19.45,10116.0,51.70193192272309
ARHGEF33,5.233,5.233,4411.0,22.5442093427374
TLCD4-RWDD3,35.357,35.357,13467.5,68.83113564346314
AKAP6,2.925,2.9250000000000003,2484.0,12.695492180312787
CA4,92.262,92.262,16712.0,85.41347234999489
RHCE,6.856,6.856000000000001,5468.0,27.94643769804763
CEACAM4,21.672,21.672,10672.0,54.543596033936424
ZNF671,3.626,3.626,3139.0,16.043136052335687
ABCD1,19.126,19.126,10017.0,51.195952161913524
MTMR7,1.829,1.829,1513.0,7.732801799039149
BYSL,50.783,50.782999999999994,15062.0,76.9804763365021
VEZT,23.792,23.792,11195.0,57.2166002248799
YTHDF1,74.463,74.463,16201.0,82.80179903914954
PYCR2,72.487,72.487,16128.0,82.42870285188593
HCRTR2,4.371,4.371,3735.5,19.091791883880198
H3C15,590.371,590.371,19105.0,97.64387202289686
RNF32,2.104,2.104,1775.0,9.071859347848308
CDK13,36.289,36.289,13602.0,69.51855259122969
ALOX5,31.852,31.852,12875.5,65.80547889195543
FGF13,2.374,2.374,2017.0,10.308698763160585
CSNK1G1,13.739,13.738999999999999,8451.0,43.192272309107636
CYP3A7,164.104,164.104,17791.0,90.92814065215168
SLAMF6,14.532,14.532,8722.0,44.57732801799039
TTLL3,54.197,54.197,15287.5,78.13298579167945
OR1J2,0.638,0.638,534.5,2.7317796177041807
RFPL4AL1,2.186,2.186,1863.5,9.524174588572013
SHB,13.497,13.497,8366.0,42.75784524174588
NEUROG1,16.064,16.064,9166.0,46.84657058162118
SNTB2,57.748,57.748,15491.0,79.17305530001022
FAM131B,13.847,13.847,8500.0,43.442706736175
SLC14A1,40.923,40.923,14179.0,72.46754574261473
TNFSF13,7.593,7.593,5876.5,30.034243074721456
ATXN7L3,6.304,6.304000000000001,5112.0,26.12695492180313
C4B_2,356.416,356.416,18733.5,95.74517019319228
HMGCS2,734.152,734.152,19227.0,98.26740263722785
DNAAF5,33.096,33.096,13106.0,66.983542880507
MBD3,89.566,89.56600000000002,16638.0,85.03526525605642
NPC1L1,2.669,2.669,2285.0,11.678421752018808
PSEN1,20.587,20.586999999999996,10390.0,53.10232035163038
PTPRK,16.674,16.674,9345.0,47.76142287641827
LSM14B,43.957,43.957,14499.5,74.10559133190227
ZKSCAN8,14.427,14.427,8691.0,44.418889911070224
OR2AE1,39.857,39.857,14066.0,71.89001328835735
ZNF154,7.521,7.521,5846.0,29.878360421138712
RAPH1,17.762,17.762,9651.0,49.32536031892057
MRPL2,60.233,60.233,15614.0,79.80169682101604
STS,60.27,60.27,15616.0,79.81191863436574
VSNL1,266.229,266.229,18437.0,94.22978636410099
SLC6A18,4.024,4.024,3447.5,17.619850761525093
DSCC1,30.709,30.709,12655.0,64.6785239701523
RBMY1A1,4.61,4.61,3938.0,20.126750485536135
PINX1,26.185,26.185,11714.0,59.86916078912399
BAG4,19.051,19.051,9995.0,51.08351221506695
MTPAP,46.206,46.205999999999996,14715.0,75.20699172033119
CD81,389.879,389.87899999999996,18816.0,96.16681999386691
ENPP4,22.43,22.43,10845.0,55.427782888684455
GRIP1,3.591,3.591,3116.5,15.928140652151694
IQCF5,6.419,6.419,5180.0,26.47449657569253
CHCHD10,221.911,221.911,18206.0,93.049166922212
TPTE,2.277,2.277,1940.5,9.91771440253501
ERAP1,93.634,93.634,16742.0,85.56679955024022
RBMY1D,4.61,4.61,3938.0,20.126750485536135
SHH,2.831,2.831,2416.0,12.347950526423388
IHO1,3.826,3.826,3300.0,16.865992026985587
GAPVD1,43.403,43.403,14442.5,73.81426965143618
FAM25G,56.422,56.422,15414.0,78.77951548604723
LONRF2,13.863,13.863,8503.0,43.45803945619953
ZNF426,1.386,1.386,1127.0,5.75999182254932
OR6F1,5.216,5.216,4402.0,22.498211182663805
DNAAF4,2.808,2.808,2403.0,12.281508739650414
COX18,10.787,10.787,7369.0,37.662271286926305
PRR27,892.942,892.942,19315.0,98.71716242461413
RIN1,21.523,21.523,10624.0,54.2982725135439
IL1A,13.632,13.632,8421.0,43.038945108862315
KCNJ16,3.416,3.4159999999999995,2938.0,15.015843810692017
KIR3DX1,2.006,2.006,1675.0,8.560768680363896
C2CD2,23.027,23.027,10983.0,56.13308800981294
ITM2B,46.496,46.496,14736.0,75.31432076050292
GTF2IRD2,2.152,2.152,1826.0,9.332515588265359
C15orf65,0.312,0.312,327.0,1.6712664826740264
MFF,46.556,46.55599999999999,14743.0,75.35009710722682
RBBP6,29.879,29.879,12465.0,63.70745170193193
S1PR5,20.968,20.968,10494.0,53.633854645814175
ITPA,147.223,147.223,17616.0,90.03373198405397
NME3,146.705,146.705,17607.0,89.98773382398038
ERBB2,17.981,17.980999999999998,9710.0,49.62690381273638
MRPL57,76.57,76.57,16270.0,83.15445159971378
CYP1B1,14.926,14.926,8833.5,45.14719411223551
EPHA7,4.465,4.465,3820.0,19.52366349790453
KRTAP2-3,10.855,10.855,7397.5,37.80793212715936
PRSS1,407.078,407.078,18848.0,96.33036900746193
KCND2,7.15,7.15,5633.0,28.78973729939691
SCEL,59.527,59.527,15573.0,79.59214964734744
CFTR,4.169,4.169,3562.5,18.207605029132168
TSPOAP1,3.352,3.352,2878.0,14.70918941020137
U2AF1,135.877,135.877,17466.0,89.26709598282734
DDX3X,142.953,142.953,17557.0,89.73218849023817
USP17L11,0.251,0.251,290.5,1.4847183890422162
ZNF572,2.141,2.141,1814.0,9.27118470816723
ATP4B,19.362,19.362,10091.0,51.574159255851995
BHMT,1046.537,1046.537,19360.0,98.94715322498212
DENND11,9.001,9.001,6611.5,33.79075948073188
E2F2,10.8,10.8,7379.0,37.713380353674744
HELB,8.68,8.68,6458.0,33.00623530614331
PUS7,51.548,51.548,15105.5,77.20280077685781
ZC3HC1,35.095,35.095,13431.0,68.64458754983134
CMTM1,8.252,8.252,6235.5,31.869058570990493
PCDHGA12,1.434,1.434,1166.5,5.961872636205663
FUCA1,61.414,61.414,15670.0,80.08790759480732
FGD6,6.708,6.708,5372.5,27.45834611060002
CCDC17,1.408,1.408,1145.0,5.851988142696515
ANXA1,1789.032,1789.032,19471.0,99.51446386588981
GNA14,27.466,27.466,11960.0,61.126443831135646
EED,38.138,38.138,13855.0,70.81161197996525
